NUMBER_ISSUE,URL,NFR_TYPE,PHRASE,KEYWORDS,LOCATION,LABEL,OBS
11291,https://github.com/spring-projects/spring-security/pull/11291,Maintainability,"""The Title of Digest Authentication document doesn't render properly""","""Documentation"", ""Document""",Discussion,in:docs,
30,https://github.com/spring-projects/spring-security/pull/30,"Security, Robustness","Security: ""Session""
Robustness: "" ensure the onSessionChange method does not throw a NullPointerException""","""Session"", ""NullPointerException""","Title, Discussion",,
7780,https://github.com/spring-projects/spring-security/pull/7780,None,,,,,
6201,https://github.com/spring-projects/spring-security/pull/6201,None,,,,,
6836,https://github.com/spring-projects/spring-security/pull/6836,Maintainability,"""Readme is outdated and does not reference the correct endpoints""","""Readme"", ""Outdated""",Discussion,in:docs,
4206,https://github.com/spring-projects/spring-security/pull/4206,Maintainability,"""Renaming Bcrypt methods to follow JavaNamingStandards""","""Renaming"", ""Standard""",Title,,
9868,https://github.com/spring-projects/spring-security/pull/9868,Maintainability,"""Insufficient authentication message for French""","""French""",Title,,
6977,https://github.com/spring-projects/spring-security/pull/6977,None,,,,,
10081,https://github.com/spring-projects/spring-security/pull/10081,Maintainability,"""Add ObjectIdentityGenerator customization to JdbcAclService""","""customization""",Title,type:enhancement,
9658,https://github.com/spring-projects/spring-security/pull/9658,Robustness,"""A ClassCastException is thrown when creating a JwtDecoder from an issuer uri.""","""ClassCastException""",Discussion,,
5900,https://github.com/spring-projects/spring-security/pull/5900,Maintainability,"""Add TestSecurityContextHolder""","""Test""",Title,type:enhancement,
4970,https://github.com/spring-projects/spring-security/pull/4970,Performance,"""Optimize IpAddressMatcher""","""Optimize"", ""Allocation""","Title, Description",,
3897,https://github.com/spring-projects/spring-security/pull/3897,Maintainability,"""Updated FAQ""","""Update FAQ""",Title,in:docs,
9218,https://github.com/spring-projects/spring-security/pull/9218,Maintainability,"""The existing containsClaim method is now deprecated.""","""Deprecated""",Discussion,,
3854,https://github.com/spring-projects/spring-security/pull/3854,None,,,,,
187,https://github.com/spring-projects/spring-security/pull/187,None,,,,,
4194,https://github.com/spring-projects/spring-security/pull/4194,Robustness,"""NullPointerException is thrown by WebSocketMessageBrokerSecurityBeanDefinitionParser.java:258 at application startup""","""NullPointerException""",Discussion,,
7258,https://github.com/spring-projects/spring-security/pull/7258,Security,"""You can prevent any additional users from logging in when the maximum number of sessions has been reached""","""Prevent"", ""Login"", ""Session""",Discussion,,
4378,https://github.com/spring-projects/spring-security/pull/4378,None,,,,,
6562,https://github.com/spring-projects/spring-security/pull/6562,None,,,,,
10155,https://github.com/spring-projects/spring-security/pull/10155,None,,,,,
7493,https://github.com/spring-projects/spring-security/pull/7493,None,,,,,
6582,https://github.com/spring-projects/spring-security/pull/6582,Maintainability,"""We have performed some polish on your URLs""","""Polish""",Title,,
5215,https://github.com/spring-projects/spring-security/pull/5215,None,,,,,
3839,https://github.com/spring-projects/spring-security/pull/3839,None,,,,,
3836,https://github.com/spring-projects/spring-security/pull/3836,Maintainability,"""fix(testing): change the way to detect the springSecurityFilterChain""","""Testing""",Title,,
4547,https://github.com/spring-projects/spring-security/pull/4547,Maintainability,"""Upgrade Nimbus dependencies""","""Update"", ""Dependencies""","Title, Description",,
10332,https://github.com/spring-projects/spring-security/pull/10332,None,,,,,
59,https://github.com/spring-projects/spring-security/pull/59,None,,,,,
7510,https://github.com/spring-projects/spring-security/pull/7510,Maintainability,"""Improve saml2login and hellorsocket sampless""","""Improve""",Title,,
6240,https://github.com/spring-projects/spring-security/pull/6240,Maintainability,"""Improve error message for Chinese""","""Chinese""",Title,,
68,https://github.com/spring-projects/spring-security/pull/68,None,,,,,
9303,https://github.com/spring-projects/spring-security/pull/9303,Robustness,"""Fixed possible NullPointerException that happens when the OAuth2 ""","""NullPointerException""","Title, Description",,
7643,https://github.com/spring-projects/spring-security/pull/7643,Maintainability,"""Corrected some typos in the documentation and added an example TenantRepository""","""Documentation""","Title, Description",,
252,https://github.com/spring-projects/spring-security/pull/252,Security,"""SEC-3190: Add support for colons in remember-me token values""","""Token""",Title,,
6956,https://github.com/spring-projects/spring-security/pull/6956,None,,,,,
7098,https://github.com/spring-projects/spring-security/pull/7098,Security,"""More flexibility on authorizations lookup on OAuth2 resource-server""","""Authorizations""",Discussion,,
7691,https://github.com/spring-projects/spring-security/pull/7691,Maintainability,"""Migrate LDAP integration tests groovy->java""","""Migrate"", ""Tests""",Title,,
8805,https://github.com/spring-projects/spring-security/pull/8805,None,,,,,
4670,https://github.com/spring-projects/spring-security/pull/4670,None,,,,,
8899,https://github.com/spring-projects/spring-security/pull/8899,None,,,,,
176,https://github.com/spring-projects/spring-security/pull/176,None,,,,,
5655,https://github.com/spring-projects/spring-security/pull/5655,Security,"""Jwt Decoder Local Key Configuration""","""JWT"", ""Public Key""","Title, Discussion",,
6938,https://github.com/spring-projects/spring-security/pull/6938,Security,Add success handler modification of OAuth2LoginSpec,OAuth2LoginSpec,Title,in: oauth2,-
191,https://github.com/spring-projects/spring-security/pull/191,None,-,-,-,-,-
8414,https://github.com/spring-projects/spring-security/pull/8414,None,-,-,-,-,Problema na documentação apenas
11317,https://github.com/spring-projects/spring-security/pull/11317,Security,Change phoneNumberVerified with type Boolean,phoneNumberVerified ,Title,in: oauth2,Identificação acaba sendo mais pelo contexto e pela label do que pelas keywords em si.
7467,https://github.com/spring-projects/spring-security/pull/7467,"Security, Maintainability",Allow to customize OAuth2AuthorizationRequestRedirectWebFilter in OAuth2LoginSpec,"OAuth2AuthorizationRequestRedirectWebFilter, OAuth2LoginSpec, customize",Title,in: oauth2,-
203,https://github.com/spring-projects/spring-security/pull/203,Security,SEC-2678 Disable HSTS by default,HSTS,Title,-,-
38,https://github.com/spring-projects/spring-security/pull/38,None,-,-,-,-,-
5580,https://github.com/spring-projects/spring-security/pull/5580,None,-,-,-,-,-
51,https://github.com/spring-projects/spring-security/pull/51,Security,SEC-1932 Add Pbkdf2PasswordEncoder,Pbkdf2PasswordEncoder,Title,-,-
7694,https://github.com/spring-projects/spring-security/pull/7694,Maintainability,"Improve unit test maintainability
Replace test vectors with a list of test objects to improve readability/maintainability",maintainability ,"Title, Description",-,-
9505,https://github.com/spring-projects/spring-security/pull/9505,Security,Gh 6053 support jwt bearer grant type,"jwt, bearer, grant",Title,in: oauth2,-
11168,https://github.com/spring-projects/spring-security/pull/11168,None,-,-,-,-,-
5182,https://github.com/spring-projects/spring-security/pull/5182,None,-,-,-,-,-
4207,https://github.com/spring-projects/spring-security/pull/4207,None,-,-,-,-,-
11388,https://github.com/spring-projects/spring-security/pull/11388,None,-,-,-,-,-
6393,https://github.com/spring-projects/spring-security/pull/6393,Security,Update JwtTimestampValidator.java,JwtTimestampValidator.java,Title,-,"Já não é o primeiro caso em que a keyword está dentro de uma palavra maior. Normalmente acontece quando o título se refere ao nome de uma classe (e.g. JwtTimestampValidator.java, Pbkdf2PasswordEncoder, etc.)"
6375,https://github.com/spring-projects/spring-security/pull/6375,Security,ID Token validation supports clock skew,token,Title,in: oauth2,
4229,https://github.com/spring-projects/spring-security/pull/4229,None,-,-,-,-,-
5419,https://github.com/spring-projects/spring-security/pull/5419,None,-,-,-,-,-
10574,https://github.com/spring-projects/spring-security/pull/10574,Security,Prevent using both authorizeRequests and authorizeHttpRequests,"authorizeRequests, authorizeHttpRequests",Title,-,-
10357,https://github.com/spring-projects/spring-security/pull/10357,None,-,-,-,-,-
6097,https://github.com/spring-projects/spring-security/pull/6097,Security,Update webflux-form sample to use Built in CSRF Support ,CSRF,Title,-,-
10895,https://github.com/spring-projects/spring-security/pull/10895,None,-,-,-,-,-
11321,https://github.com/spring-projects/spring-security/pull/11321,Security,Add support to ClientRegistrations for using a metadata resolver,ClientRegistrations,Title,in: oauth2,-
6510,https://github.com/spring-projects/spring-security/pull/6510,None,-,-,-,-,-
6930,https://github.com/spring-projects/spring-security/pull/6930,None,-,-,-,-,-
5316,https://github.com/spring-projects/spring-security/pull/5316,Robustness,"CookieServerCsrfTokenRepository fails when cookie is null/empty, The CookieServerCsrfTokenRepository fails with an IllegalArgumentException
when a cookie is present but the value is null or empty.","failsm, IllegalArgumentException","Title, Description",-,-
10553,https://github.com/spring-projects/spring-security/pull/10553,Security,Allow Multipart form POSTs to include access tokens,access tokens,Title,in: oauth2,-
8583,https://github.com/spring-projects/spring-security/pull/8583,Security,JWT encoding support for OAuth 2.0,"JWT, OAuth",Title,in: oauth2,-
63,https://github.com/spring-projects/spring-security/pull/63,Security,LDAP PasswordComparisonAuthenticator now supports salted-SHA passwords,"PasswordComparisonAuthenticator, salted, SHA, passwords",Title,-,-
7748,https://github.com/spring-projects/spring-security/pull/7748,Maintainability,"Simplify customizing OAuth2AuthorizationRequest, Although this strategy could fulfill most (if not all) use cases, it does require some extra configuration that may not be as convenient compared to directly ""hooking"" into the OAuth2AuthorizationRequest.Builder for customizations.","simplify, convenient","Title, Description",-,-
8854,https://github.com/spring-projects/spring-security/pull/8854,Security,"Introduce AuthenticationConverterServerWebExchangeMatcher, It can be used as a matcher where SecurityFilterChain should be matched based on used authentication method.","Authentication, SecurityFilterChain","Title, Description",-,-
55,https://github.com/spring-projects/spring-security/pull/55,None,-,-,-,-,-
158,https://github.com/spring-projects/spring-security/pull/158,Security,"Add BCrypt byte[] APIs, additional tests",BCrypt,Title,-,-
11054,https://github.com/spring-projects/spring-security/pull/11054,Maintainability,"Make getters of handlers publically accessible, Changes AbstractAuthenticationProcessingFilter getters of success and failure handlers to public visibility so that allowSessionCreation flag can be configured, see also gh-11053.","publically, acessible, getters, public, visibility",Title,-,-
8780,https://github.com/spring-projects/spring-security/pull/8780,None,-,-,-,-,-
197,https://github.com/spring-projects/spring-security/pull/197,None,-,-,-,-,-
9485,https://github.com/spring-projects/spring-security/pull/9485,None,-,-,-,-,-
9168,https://github.com/spring-projects/spring-security/pull/9168,"Maintainability, Security","Enable customization of BearerTokenResolver by adding a setter for JwtClaimIssuerConverter on JwtIssuerAuthenticationManagerResolver, I use the JwtIssuerAuthenticationManagerResolver in a web socket backend which receives the JWT not in the Authorization Header but in a custom X-Authorization Cookie Header. Therefore, I need to use my own BearerTokenResolver implementation which gets the JWT from there. This seems not to be possible at the moment.","customization, JWT, BearerTokenResolver","Title, Description",,
8884,https://github.com/spring-projects/spring-security/pull/8884,None,-,-,-,-,-
7623,https://github.com/spring-projects/spring-security/pull/7623,Robustness,Application will crash if no available internet access since commit 2e63def,crash,Description,,
165,https://github.com/spring-projects/spring-security/pull/165,None,-,-,-,-,-
4897,https://github.com/spring-projects/spring-security/pull/4897,"Maintainability, Security","The first commit fixes incomplete commit e68d8bf in context with gh-234.
e68d8bf added a private field providedSessionAuthenticationStrategy but missed to set it somewhere.
The second commit improves the possibilities to configure session management.
In my opinion it's kind of surprising that setting session authorization disables session fixation.","session, authorization",Description,-,"Identifiquei manutenibilidade pelo contexto, mas não encontrei nenhuma keyword específica que pudesse apontar o NFR."
4119,https://github.com/spring-projects/spring-security/pull/4119,Maintainability,Polishing the ReferrerPolicyHeaderWriter,polishing,Title,-,
7639,https://github.com/spring-projects/spring-security/pull/7639,None,-,-,-,-,-
6870,https://github.com/spring-projects/spring-security/pull/6870,Security,Added support for providing custom parameters to an OAuth 2.0 token introspection request. This is done by explicitly instantiating a NimbusOAuth2TokenIntrospectionClient instance and then setting a custom Converter implementation.,"OAuth, token",Description,in: oauth2,
107,https://github.com/spring-projects/spring-security/pull/107,Security,SEC-2189: Modifed the AbstractAuthorizeTag#authorizeUsingUrlCheck,"SEC, Authorize",Title,-,-
4895,https://github.com/spring-projects/spring-security/pull/4895,None,-,-,-,-,-
6850,https://github.com/spring-projects/spring-security/pull/6850,"Security, Maintainability, Robustness","""I think that along with that we should update the documentation to explain that when extending WebSecurityConfigurerAdapter is needed too (i.e. when we need to modify the default behavior of web based security)."", ""This is explained in chapters 6.2 - 6.5. You may be right that this documentation fragment is not perfect and it could use some refactoring. But the intention of this patch is just to fix an obvious bug - wrong class name used in the example.""","security, refactoring, bug, documentation",Comment,bug,-
4135,https://github.com/spring-projects/spring-security/pull/4135,Maintainability,"""Polish Documentation"", ""This PR fixes some typos and polishes trivial stuff.""","polish, documentation, typos","Title, Description",docs,-
6649,https://github.com/spring-projects/spring-security/pull/6649,Maintainability,"""URL Cleanup""",cleanup,Title,-,-
8436,https://github.com/spring-projects/spring-security/pull/8436,None,-,-,-,-,-
6129,https://github.com/spring-projects/spring-security/pull/6129,None,-,-,-,-,-
10212,https://github.com/spring-projects/spring-security/pull/10212,Security,"""Decrypt assertions even when response is not signed""",decrypt,Title,-,-
7710,https://github.com/spring-projects/spring-security/pull/7710,None,-,-,-,-,"Fala de access token, mas na minha opinião é um requisito funcional que está sendo discutido."
6660,https://github.com/spring-projects/spring-security/pull/6660,Maintainability,"""URL Cleanup""",cleanup,Title,-,-
3700,https://github.com/spring-projects/spring-security/pull/3700,None,-,-,-,-,-
9581,https://github.com/spring-projects/spring-security/pull/9581,None,-,-,-,-,-
100,https://github.com/spring-projects/spring-security/pull/100,Security,"""SEC-2656: fix and unit test""",SEC,Title,,
8796,https://github.com/spring-projects/spring-security/pull/8796,"Robustness, Security","""Without the change the prefix role is default ""ROLE_ and the demo throws the following exception:
org.springframework.security.access.AccessDeniedException: Access is denied
while access to /post.html?id=1&amount=20.00."", ""Thanks for the PR. I changed the method based security to use hasAuthority to be consistent with the web layer. See 9c33a86""","throws, denied, security, authority",Comment,-,-
261,https://github.com/spring-projects/spring-security/pull/261,None,-,-,-,-,-
53,https://github.com/spring-projects/spring-security/pull/53,Security,"""Added RememberMeAuthenticationException constructor which keeps the root cause of the exception""",exception,Description,-,-
3863,https://github.com/spring-projects/spring-security/pull/3863,None,-,-,-,-,-
10348,https://github.com/spring-projects/spring-security/pull/10348,Maintainability,"""And tell me please, is it OK to do some small organizational PR like fix broken javadoc links or typos in some small files (like in plugin configs).""","javadoc, typos",Comment,-,-
3717,https://github.com/spring-projects/spring-security/pull/3717,None,-,-,-,-,-
11433,https://github.com/spring-projects/spring-security/pull/11433,None,-,-,-,-,-
7012,https://github.com/spring-projects/spring-security/pull/7012,Security,"""I've made the assumption that the query parameters here have already been decoded and therefore can be validated against a pattern.""","validated, pattern",Comment,-,-
9128,https://github.com/spring-projects/spring-security/pull/9128,"Security, Robustness","""Catch iIlegalStateException when session is already invalidate"", ""When a session is already invalidated then an uncaught exception is thrown. "", ""Or, since it appears to be caused by a race condition, perhaps that can be addressed instead.""","invalidate, exception, thrown, condition","Title, Description, Comment",-,-
6093,https://github.com/spring-projects/spring-security/pull/6093,None,-,-,-,-,-
10924,https://github.com/spring-projects/spring-security/pull/10924,None,-,-,-,-,-
7663,https://github.com/spring-projects/spring-security/pull/7663,Maintainability,"""Fix minor typo in HttpSecurity documentation""","documentation, typo",Title,docs,
10278,https://github.com/spring-projects/spring-security/pull/10278,None,-,-,-,-,-
4331,https://github.com/spring-projects/spring-security/pull/4331,None,-,-,-,-,-
7183,https://github.com/spring-projects/spring-security/pull/7183,None,-,-,-,-,-
14,https://github.com/spring-projects/spring-security/pull/14,Security,"""SEC-1987 & SEC-1986"", ""I add the CasRememberMeAccessDeniedHandler class to handle CAS remember-me authentication when access is denied"", ""The CasAccessDeniedHandler does not differentiate between access denied due to the user is anonymous and a missing role role (or any other type of failure). Consider trying to access the extreme secure page as scott / scott when scott is ""remembered"". "", ""The use of the CasRememberMeAccessDeniedHandler has to be configured according to the rest of the security configuration, it may (will ?) be tricky.""","access, secure, security, SEC, denied","Title, Description, Comment",-,Discussão interessante
11366,https://github.com/spring-projects/spring-security/pull/5376,None,-,-,-,-,-
5376,,None,-,-,-,-,-
9453,https://github.com/spring-projects/spring-security/pull/9453,None,-,-,-,-,-
7644,https://github.com/spring-projects/spring-security/pull/7644,None,-,-,-,-,-
74,https://github.com/spring-projects/spring-security/pull/74,None,-,-,-,-,-
8771,https://github.com/spring-projects/spring-security/pull/8771,None,-,-,-,-,-
5536,https://github.com/spring-projects/spring-security/pull/5536,None,-,-,-,-,-
8424,https://github.com/spring-projects/spring-security/pull/8424,None,-,-,-,-,-
7013,https://github.com/spring-projects/spring-security/pull/7013,Security,"""Should it retrieve the OAuth2AuthorizedClient again if the token is expired?"", ""If the grant type is PASSWORD doesn't it need to use a OAuth2PasswordGrantRequest to request a new token?"", ""No. For expired access tokens, the RefreshTokenOAuth2AuthorizedClientProvider handles this. The PasswordOAuth2AuthorizedClientProvider only handles getting a new access token (if client is not authorized)""","token, oauth, password, authorized",Comment,-,-
41,https://github.com/spring-projects/spring-security/pull/41,None,-,-,-,-,-
201,https://github.com/spring-projects/spring-security/pull/201,None,-,-,-,-,-
6269,https://github.com/spring-projects/spring-security/pull/6269,Maintainability,"""making it hard to usefully extend. Breaking it up into overridable methods.""","""extend""",Description,-,Discussão ocorre na issue relacionada
4066,https://github.com/spring-projects/spring-security/pull/4066,None,-,-,-,-,-
6583,https://github.com/spring-projects/spring-security/pull/6583,None,-,-,-,-,-
9042,https://github.com/spring-projects/spring-security/pull/9042,None,-,-,-,-,-
7356,https://github.com/spring-projects/spring-security/pull/7356,Security,"""Refactor auth token/login providers""","""auth""",Title,in: oauth,PR Rejeitada
6367,https://github.com/spring-projects/spring-security/pull/6367,None,-,-,-,-,-
8332,https://github.com/spring-projects/spring-security/pull/8332,Performance,Provide possibility to use custom cache to store JWK Set,"""custom cache""",Title,-,-
230,https://github.com/spring-projects/spring-security/pull/230,None,,,,,
7277,https://github.com/spring-projects/spring-security/pull/7277,None,,,,,
7996,https://github.com/spring-projects/spring-security/pull/7996,Performance,"""Add lazy Exception instantiation and reduce amount of
reactor operators to reduce allocations""","""reduce allocations"", ""lazy exceptions""","Description, Discussion",-,
6563,https://github.com/spring-projects/spring-security/pull/6563,Maintainability,"""This allows for an easy integration""","""easy integration""",discussion,-,
7597,https://github.com/spring-projects/spring-security/pull/7597,Maintainability,"""This PR also refactors the OAuth2ResourceServerConfigurer to make better use of the newly introduced way of managing aforementioned converters.""","""refactors"" ""to make better use""",Description,-,"ok, é uma manutenção, mas não fica claro para mim se a principal contribuição é melhor a manutenibilidade"
8698,https://github.com/spring-projects/spring-security/pull/8698,None,,,,-,
5728,https://github.com/spring-projects/spring-security/pull/5728,Security,"This makes so that WebFlux OAuth 2.0 Resource Server configuration
will pick up a ReactiveJwtDecoder exposed as a bean.","""exposed as a bean""",Description,-,
5307,https://github.com/spring-projects/spring-security/pull/5307,Maintainability,"""InMemoryOAuth2AuthorizedClientService cannot contain the logic for storing in the HttpSession. It breaks the rule of single responsibility.""","""single responsibility""",discussion,-,
10225,https://github.com/spring-projects/spring-security/pull/10225,None,,,,-,não vi nada aqui sobre NFR
10111,https://github.com/spring-projects/spring-security/pull/10111,None,,,,-,idem
7333,https://github.com/spring-projects/spring-security/pull/7333,None,,,,-,idem
11309,https://github.com/spring-projects/spring-security/pull/11309,None,,,,-,idem
4266,https://github.com/spring-projects/spring-security/pull/4266,Maintainability,"""It is anoying to have to copy the code just because its package-private.""","""copy of the code""",Description,-,não foi aceito
231,https://github.com/spring-projects/spring-security/pull/231,None,,,,-,
4436,https://github.com/spring-projects/spring-security/pull/4436,Maintainability,"""This small pull request updates the (outdated?) JavaDoc in Pbkdf2PasswordEncoder, so that it uses the actual values for the default number of iterations and hash width""","""outdated JavaDoc""",Description,-,é uma interepretação pessoal que a documentação desatualizada irá impactar na manutenibilidade
174,https://github.com/spring-projects/spring-security/pull/174,None,,,,-,
171,https://github.com/spring-projects/spring-security/pull/171,Robustness,If token not present into request generate the InvalidCsrfTokenException always,"""generate the ...expection""",Description,-,não foi aceito
6878,https://github.com/spring-projects/spring-security/pull/6878,None,,,,-,"falta clareza, tem a ver com javadoc"
7221,https://github.com/spring-projects/spring-security/pull/7221,Security,"""Add support to avoid timing attacks in the csrf tokens""","""timing attacks""",Title,-,não foi implementado
10588,https://github.com/spring-projects/spring-security/pull/10588,None,,,,-,
5150,https://github.com/spring-projects/spring-security/pull/5150,None,,,,-,
8756,https://github.com/spring-projects/spring-security/pull/8756,Performance,"""Use memory-saving Collections.singletonList in JdbcAclService.readAclById()""
""We don't need array-based Arrays.asList() as we always have only one instance ObjectIdentity at call site.""","""memory-saving"" ""only one instance""","Title, Description",-,
7080,https://github.com/spring-projects/spring-security/pull/7080,Maintainability,"""Changed docs to reflect that init should apply configurers""","""reflect""",Title,-,é uma interepretação pessoal que a documentação desatualizada irá impactar na manutenibilidade
11464,https://github.com/spring-projects/spring-security/pull/11464,Security,"""Add SHA256 as an algorithm option for Remember Me token hashing""","""SHA256"" 'token hashing""",Title,-,
9335,https://github.com/spring-projects/spring-security/pull/9335,None,,,,-,
8350,https://github.com/spring-projects/spring-security/pull/8350,None,,,,-,
