NUMBER_ISSUE,URL,NFR_TYPE,PHRASE,KEYWORDS,LOCATION,LABEL,OBS
1597,https://github.com/spring-projects/spring-framework/pull/1597,None,-,-,-,-,Change getter method
23965,https://github.com/spring-projects/spring-framework/pull/23965,None,-,-,-,-,Avoid store all beanName
107,https://github.com/spring-projects/spring-framework/pull/107,None,-,-,-,-,JIRA
2026,https://github.com/spring-projects/spring-framework/pull/2026,Maintainability,"""The name of the parameter is misleading"",
""This parameter is confusing to developers who read""","""misleading"", ""read""",,-,-
2069,https://github.com/spring-projects/spring-framework/pull/2069,"Maintainability, Performance","Maintainability: ""I'll keep readability""
Performance: ""Extract Method::getParameterTypes out of the loop where possible""","Maintainability: ""readability""
Performance: ""loop""","Title, Discussion",-,-
25897,https://github.com/spring-projects/spring-framework/pull/25897,Performance,""" Is it Tomcat opening such a stream?""","""stream""",Discussion,-,
25594,https://github.com/spring-projects/spring-framework/pull/25594,Performance,"""Optimize ObjectUtils.nullSafeHashCode() implementations""","""optimize""",Title,-,-
28890,https://github.com/spring-projects/spring-framework/pull/28890,None,-,-,-,-,Fix typo
152,https://github.com/spring-projects/spring-framework/pull/152,None,-,-,-,-,-
26822,https://github.com/spring-projects/spring-framework/pull/26822,None,-,-,-,-,-
22665,https://github.com/spring-projects/spring-framework/pull/22665,Maintainability,URL Cleanup,"""cleanup""","Title, Description",-,-
1462,https://github.com/spring-projects/spring-framework/pull/1462,None,-,-,-,-,-
571,https://github.com/spring-projects/spring-framework/pull/571,Maintainability,"""I wonder whether we should shorten""","""shorten""",Discussion,-,-
1030,https://github.com/spring-projects/spring-framework/pull/1030,None,-,-,-,-,Fix typo
26929,https://github.com/spring-projects/spring-framework/pull/26929,Performance,"""Optimize some scenes which need not proxy""","""optimize""",Title,-,-
28746,https://github.com/spring-projects/spring-framework/pull/28746,Robustness,"""will throw an InvalidPathException on""","""thrown""",Discussion,-,-
1147,https://github.com/spring-projects/spring-framework/pull/1147,Performance,"""Improve performance when parsing MediaTypes""","""performance""",Title,-,-
200,https://github.com/spring-projects/spring-framework/pull/200,None,-,-,-,-,-
472,https://github.com/spring-projects/spring-framework/pull/472,None,-,-,-,-,-
22337,https://github.com/spring-projects/spring-framework/pull/22337,None,-,-,-,-,-
27229,https://github.com/spring-projects/spring-framework/pull/27229,Robustness,"""and raising an exception later""","""exception""",Discussion,-,-
382,https://github.com/spring-projects/spring-framework/pull/382,None,-,-,-,-,-
800,https://github.com/spring-projects/spring-framework/pull/800,Performance,"""Support OkHttp as (Async)ClientHttpRequestFactory""","""async""","Title, Description",-,-
1806,https://github.com/spring-projects/spring-framework/pull/1806,None,-,-,-,-,Fix typo
871,https://github.com/spring-projects/spring-framework/pull/871,Performance,"""Read large data using InputStreamResource""","""large""",Description,-,-
1933,https://github.com/spring-projects/spring-framework/pull/1933,None,-,-,-,-,Fix unusable assertions
23555,https://github.com/spring-projects/spring-framework/pull/23555,None,-,-,-,-,Fix typo
656,https://github.com/spring-projects/spring-framework/pull/656,None,-,-,-,-,-
23715,https://github.com/spring-projects/spring-framework/pull/23715,None,-,-,-,-,-
23198,https://github.com/spring-projects/spring-framework/pull/23198,None,-,-,-,-,Transaction
24903,https://github.com/spring-projects/spring-framework/pull/24903,Maintainability,"""replaced deprecated invocation with recommended method""","""deprecated""",Discussion,-,-
268,https://github.com/spring-projects/spring-framework/pull/268,None,-,-,-,-,-
24768,https://github.com/spring-projects/spring-framework/pull/24768,Perfromance,"""resulting in severe performance degradation""","""performance""",Description,-,-
25137,https://github.com/spring-projects/spring-framework/pull/25137,None,-,-,-,-,Fix URI pattern
1917,https://github.com/spring-projects/spring-framework/pull/1917,None,-,-,-,-,-
24674,https://github.com/spring-projects/spring-framework/pull/24674,Performance,"""Improve performance of StringUtils"", ""I noticed an optimization opportunity""","""performance"", ""optimization""","Title, Description",-,-
26114,https://github.com/spring-projects/spring-framework/pull/26114,None,-,-,-,-,-
25058,https://github.com/spring-projects/spring-framework/pull/25058,Perfromance,"""Include timeout unit in shutdown failure logging""","""timeout""",Title,-,-
25487,https://github.com/spring-projects/spring-framework/pull/25487,Maintainability,"""would be used in other Comparators, we should make this as singleton design pattern""","""pattern""",Description,-,-
1183,https://github.com/spring-projects/spring-framework/pull/1183,None,-,-,-,-,Fix Typo
26075,https://github.com/spring-projects/spring-framework/pull/26075,Performance,"""Avoid full singleton lock""","""lock""",Title,-,-
27799,https://github.com/spring-projects/spring-framework/pull/27799,None,-,-,-,-,Polish
625,https://github.com/spring-projects/spring-framework/pull/625,None,-,-,-,-,Clean up
773,https://github.com/spring-projects/spring-framework/pull/773,Performance,"""Performance Optimization on getResultSetValue"",
""found significant lack of performance "",
""benchmark"", 
""almost as fast as a custom""","""performance"", ""benchmark"", ""fast""","Title, Description",-,-
44,https://github.com/spring-projects/spring-framework/pull/44,None,-,-,-,-,Fix Typo
419,https://github.com/spring-projects/spring-framework/pull/419,Robustness,"""If the exception is not caught, the app cannot be deployed into""","""exception"", ""caught""","Title, Description",-,-
1889,https://github.com/spring-projects/spring-framework/pull/1889,Security,"""even though they have a valid session""","""session""",Description,-,-
24105,https://github.com/spring-projects/spring-framework/pull/24105,Performance,"""time improvements of the caching without some additional setup""","""time improvement""",Description,-,-
28355,https://github.com/spring-projects/spring-framework/pull/28355,None,-,-,-,-,-
25452,https://github.com/spring-projects/spring-framework/pull/25452,None,-,-,-,-,-
1874,https://github.com/spring-projects/spring-framework/pull/1874,None,-,-,-,-,Fix Typo
27604,https://github.com/spring-projects/spring-framework/pull/27604,None,,,,,"Todas essas mudanças que são claramente enhancement, estou desconsiderando como NFR."
895,https://github.com/spring-projects/spring-framework/pull/895,None,,,,,"Todas essas mudanças que são claramente enhancement, estou desconsiderando como NFR."
293,https://github.com/spring-projects/spring-framework/pull/293,None,,,,,"Todas essas mudanças que são claramente enhancement, estou desconsiderando como NFR."
28783,https://github.com/spring-projects/spring-framework/pull/28783,Performance,"""prevent some lock competition""","""lock"", ""syncronization""",Description,,Os detalhes mais importantes estão na issue referenciada.
25311,https://github.com/spring-projects/spring-framework/pull/25311,None,,,,,"Todas essas mudanças que são claramente enhancement, estou desconsiderando como NFR."
518,https://github.com/spring-projects/spring-framework/pull/518,Maintenance,"""clean up compiler warnings""","""clean up"",""warnings""",Description,,
1002,https://github.com/spring-projects/spring-framework/pull/1002,None,,,,,Sem informação suficiente
1378,https://github.com/spring-projects/spring-framework/pull/1378,None,,,,,Sem informação suficiente
1972,https://github.com/spring-projects/spring-framework/pull/1972,None,,,,,Correção de typo
23401,https://github.com/spring-projects/spring-framework/pull/23401,None,,,,,Correção de typo
1449,https://github.com/spring-projects/spring-framework/pull/1449,Maintenance,"""Simplify the code""",,Description,,Os detalhes mais importantes estão na issue referenciada.
24250,https://github.com/spring-projects/spring-framework/pull/24250,None,,,,,
1792,https://github.com/spring-projects/spring-framework/pull/1792,None,,,,,
24476,https://github.com/spring-projects/spring-framework/pull/24476,None,,,,,
241,https://github.com/spring-projects/spring-framework/pull/241,None,,,,,
1061,https://github.com/spring-projects/spring-framework/pull/1061,Robustness,"""An error occurs while binding request parameters ""","""Error"", ""StringIndexOutOfBoundsException""","Title, Description",,
589,https://github.com/spring-projects/spring-framework/pull/589,None,,,,,"Todas essas mudanças que são claramente enhancement, estou desconsiderando como NFR."
2023,https://github.com/spring-projects/spring-framework/pull/2023,None,,,,,
715,https://github.com/spring-projects/spring-framework/pull/715,Robustness,"""...other cases were not properly managed, throwing exceptions for valid HTTP responses.""","""throwing"", ""exceptions""",Description,,
26294,https://github.com/spring-projects/spring-framework/pull/26294,None,,,,,Apenas uma inconformidade.
1380,https://github.com/spring-projects/spring-framework/pull/1380,None,,,,,
885,https://github.com/spring-projects/spring-framework/pull/885,None,,,,,
23469,https://github.com/spring-projects/spring-framework/pull/23469,None,,,,,
24492,https://github.com/spring-projects/spring-framework/pull/24492,Maintenance,"""Use try-with-resource instead of try-finally to close stream""",,"Title, Description",,
22867,https://github.com/spring-projects/spring-framework/pull/22867,None,,,,,
88,https://github.com/spring-projects/spring-framework/pull/88,None,,,,,
24920,https://github.com/spring-projects/spring-framework/pull/24920,None,,,,,
28315,https://github.com/spring-projects/spring-framework/pull/28315,Maintenance,"""Introduce ... method"", ""Very common""",,Description,,
1825,https://github.com/spring-projects/spring-framework/pull/1825,Robustness,"""works as expected and does't throw exception""","""throw exception""",Description,,
28375,https://github.com/spring-projects/spring-framework/pull/28375,None,,,,,
214,https://github.com/spring-projects/spring-framework/pull/214,None,,,,,
323,https://github.com/spring-projects/spring-framework/pull/323,None,,,,,Sem informação suficiente.
25351,https://github.com/spring-projects/spring-framework/pull/25351,None,,,,,Apenas correção na documentação.
41,https://github.com/spring-projects/spring-framework/pull/41,None,,,,,
22647,https://github.com/spring-projects/spring-framework/pull/22647,None,,,,,
26816,https://github.com/spring-projects/spring-framework/pull/26816,None,,,,,
24926,https://github.com/spring-projects/spring-framework/pull/24926,Maintenance,"""spring-test HtmlUnit does not recognize files for multipart uploading""","""spring-test""",Descriptiom,in:test,Os detalhes mais importantes estão na issue referenciada.
1071,https://github.com/spring-projects/spring-framework/pull/1071,None,,,,,Sem informação suficiente.
744,https://github.com/spring-projects/spring-framework/pull/744,Maintenance,"""a simple refactor to extract the application of default configuration to into a separate method""","""extract"", ""refactoring""",Description,,
27614,https://github.com/spring-projects/spring-framework/pull/27614,None,,,,,
27565,https://github.com/spring-projects/spring-framework/pull/27565,Maintenance,"""This should save a few cycles and is also less code in some cases because we do not need to catch UnsupportedEncodingExceptions""","""less code"", ""simplification""",Description,,Os detalhes mais importantes estão na issue referenciada.
23981,https://github.com/spring-projects/spring-framework/pull/23981,None,,,,,Sem informação suficiente.
24774,https://github.com/spring-projects/spring-framework/pull/24774,None,,,,,Sem informação suficiente.
1296,https://github.com/spring-projects/spring-framework/pull/1296,Robustness,"""Exception if no RequestDataValueProcessor is present""","""exception""",Title,,
584,https://github.com/spring-projects/spring-framework/pull/584,None,,,,,
835,https://github.com/spring-projects/spring-framework/pull/835,None,,,,,
738,https://github.com/spring-projects/spring-framework/pull/738,None,,,,,Correção de typo
1644,https://github.com/spring-projects/spring-framework/pull/1644,None,,,,,
26197,https://github.com/spring-projects/spring-framework/pull/26197,None,,,,,
390,https://github.com/spring-projects/spring-framework/pull/390,None,,,,,
24377,https://github.com/spring-projects/spring-framework/pull/24377,None,,,,,
28338,https://github.com/spring-projects/spring-framework/pull/28338,None,,,,,Sem informação suficiente.
896,https://github.com/spring-projects/spring-framework/pull/896,None,,,,,
24236,https://github.com/spring-projects/spring-framework/pull/24236,None,,,,,
1879,https://github.com/spring-projects/spring-framework/pull/1879,None,,,,,
467,https://github.com/spring-projects/spring-framework/pull/467,None,,,,,
26374,https://github.com/spring-projects/spring-framework/pull/26374,None,,,,,
26678,https://github.com/spring-projects/spring-framework/pull/26678,None,,,,,
1361,https://github.com/spring-projects/spring-framework/pull/1361,None,,,,,
1368,https://github.com/spring-projects/spring-framework/pull/1368,Maintenance,"""Use JDK8 hashCode() for primitives in ObjectUtils""","""Deprecated""",Description,,
22809,https://github.com/spring-projects/spring-framework/pull/22809,None,,,,,
1579,https://github.com/spring-projects/spring-framework/pull/1579,Maintenance,"""otherwise it's easy to accidentally get 'localhost' even if you set a Host: header""",,Description,,
26952,https://github.com/spring-projects/spring-framework/pull/26952,None,,,,,
22677,https://github.com/spring-projects/spring-framework/pull/22677,None,,,,,Apenas correção na documentação.
1511,https://github.com/spring-projects/spring-framework/pull/1511,None,,,,,Apenas correção na documentação.
24155,https://github.com/spring-projects/spring-framework/pull/24155,None,,,,,Apenas correção na documentação.
1293,https://github.com/spring-projects/spring-framework/pull/1293,None,,,,,"Parece relacionada a performance, mas faltam detalhes do autor."
1798,https://github.com/spring-projects/spring-framework/pull/1798,None,,,,,
23967,https://github.com/spring-projects/spring-framework/pull/23967,None,,,,,
27290,https://github.com/spring-projects/spring-framework/pull/27290,Maintenance,"""A new method has been added, named hasAnyContributors that returns the value expected of its name.""","""Deprecated""",Description,,
1135,https://github.com/spring-projects/spring-framework/pull/1135,None,,,,,Sem informação suficiente.
1288,https://github.com/spring-projects/spring-framework/pull/1288,None,,,,,
1453,https://github.com/spring-projects/spring-framework/pull/1453,Maintenance,"""use lambda to refact the code""","""Refact""",Description,,"Apesar de ser relacionada a refatoração, foi rejeitada."
28217,https://github.com/spring-projects/spring-framework/pull/28217,None,,,,,
22517,https://github.com/spring-projects/spring-framework/pull/22517,None,,,,,Apenas correção na documentação.
22589,https://github.com/spring-projects/spring-framework/pull/22589,None,,,,,Correção de typo
1011,https://github.com/spring-projects/spring-framework/pull/1011,None,,,,,
27997,https://github.com/spring-projects/spring-framework/pull/27997,Maintainability,Polish codes in spring-webmvc,Polish,Title,-,"Detalhe, numa das mensagens dos commits associados no PR tem uma menção explícita à refatoração, o que poderia ajudar mais na identificação que as keywords que eu indiquei."
645,https://github.com/spring-projects/spring-framework/pull/645,None,-,-,-,-,-
24419,https://github.com/spring-projects/spring-framework/pull/24419,Maintainability,Simplify UrlFileNameViewController#getViewNameForUrlPath(),Simplify,Title,-,-
1427,https://github.com/spring-projects/spring-framework/pull/1427,Robustness,Is there not possible NPE if subs.get(sessionId) returns null? How about:,NPE,Discussion,-,
1977,https://github.com/spring-projects/spring-framework/pull/1977,Performance,"Optimize HTTP headers parsing

Several benchmarks underlined a few hotspots for CPU and GC pressure in
the Spring Framework codebase:

The media
type parsing operation is expensive

This commit improves this by caching the parsed MediaType for the
""Content-Type"" request header in the ReadOnlyHttpHeaders class. This change
is available for both Spring MVC and Spring WebFlux.","Optimize, CPU, benchmarks, hotspots, GC pressure, expensive, caching","Title, Description",-,-
25899,https://github.com/spring-projects/spring-framework/pull/25899,None,-,-,-,-,-
28677,https://github.com/spring-projects/spring-framework/pull/28677,Robustness,Fix DataSourceUtils inconsistent exception handling,exception,Title,-,-
1999,https://github.com/spring-projects/spring-framework/pull/1999,Robustness,fix exception chain loss,exception,Title,-,-
25936,https://github.com/spring-projects/spring-framework/pull/25936,None,-,-,-,-,-
28426,https://github.com/spring-projects/spring-framework/pull/28426,None,-,-,-,-,-
313,https://github.com/spring-projects/spring-framework/pull/313,Maintainability,removed unused dependency from spring-instrument,unused dependency,Title,-,-
1349,https://github.com/spring-projects/spring-framework/pull/1349,Maintainability,Making easier for understanding example of GenericApplicationContext by changing undeclared object ctx to context.,easier + understand,Description,-,-
1910,https://github.com/spring-projects/spring-framework/pull/1910,None,-,-,-,-,-
1404,https://github.com/spring-projects/spring-framework/pull/1404,None,-,-,-,-,-
1581,https://github.com/spring-projects/spring-framework/pull/1581,None,-,-,-,-,-
958,https://github.com/spring-projects/spring-framework/pull/958,Performance,Speed up AntPathMatcher by doing prefix-match,speed up,Title,-,-
27324,https://github.com/spring-projects/spring-framework/pull/27324,None,-,-,-,-,-
23450,https://github.com/spring-projects/spring-framework/pull/23450,None,,,,,
1610,https://github.com/spring-projects/spring-framework/pull/1610,None,,,,,
960,https://github.com/spring-projects/spring-framework/pull/960,None,,,,,
28472,https://github.com/spring-projects/spring-framework/pull/28472,None,,,,,
23142,https://github.com/spring-projects/spring-framework/pull/23142,None,,,,,
1584,https://github.com/spring-projects/spring-framework/pull/1584,None,,,,,
1228,https://github.com/spring-projects/spring-framework/pull/1228,None,,,,,
1213,https://github.com/spring-projects/spring-framework/pull/1213,None,,,,,
27862,https://github.com/spring-projects/spring-framework/pull/27862,None,,,,,
1410,https://github.com/spring-projects/spring-framework/pull/1410,None,,,,,
26773,https://github.com/spring-projects/spring-framework/pull/26773,Maintainability,Fix @Scope documentation in ref docs,fix documentation,Title,,
801,https://github.com/spring-projects/spring-framework/pull/801,Robustness,"Trivial change: use Long.parseLong instead of Integer.parseInt because the assigned fields are of type long, not int. The current code is causing errors on startup when I try to use a value too big for an int.",errors,Description,,
869,https://github.com/spring-projects/spring-framework/pull/869,Robustness,Prevent a IllegalStateException in BindStatus at the time of without property access,exception,Title,,
636,https://github.com/spring-projects/spring-framework/pull/636,Security,Add Authentication to Security Context Holder,"authentication, security",Title,,
1826,https://github.com/spring-projects/spring-framework/pull/1826,None,,,,,
124,https://github.com/spring-projects/spring-framework/pull/124,None,,,,,
540,https://github.com/spring-projects/spring-framework/pull/540,None,,,,,
28453,https://github.com/spring-projects/spring-framework/pull/28453,None,,,,,
22792,https://github.com/spring-projects/spring-framework/pull/22792,Performance,Some trivial optimization in method populateBean(),optimization,Title,,
1003,https://github.com/spring-projects/spring-framework/pull/1003,Robustness,"Profiling has shown that we have a lot of caught
SAXNotRecognizedException during normal program execution. ",exception,Description,,
28010,https://github.com/spring-projects/spring-framework/pull/28010,None,,,,,
26030,https://github.com/spring-projects/spring-framework/pull/26030,None,,,,,
253,https://github.com/spring-projects/spring-framework/pull/253,Maintainability,Document @Bean 'lite' mode vs @Configuration,document,Title,,
27127,https://github.com/spring-projects/spring-framework/pull/27127,Maintainability,Avoid duplicated code by using map,duplicated code,Title,,
27726,https://github.com/spring-projects/spring-framework/pull/27726,Maintainability,Clarify that interface-level cache annotations work for target-class proxies as well,clarify,Title,,
27752,https://github.com/spring-projects/spring-framework/pull/27752,Maintainability,Avoids duplicating the logic,duplicating + logic,Description,,
26708,https://github.com/spring-projects/spring-framework/pull/26708,Maintainability,This PR fixes polishes trivial stuff.,polish,"Title, Description",,
642,https://github.com/spring-projects/spring-framework/pull/642,None,,,,,
22993,https://github.com/spring-projects/spring-framework/pull/22993,Maintainability,"Update webflux.adoc

Correction of example with @RequestBody and BindingResult which dosn't work.",correction + doc,"Title, Description",,
1286,https://github.com/spring-projects/spring-framework/pull/1286,None,,,,,
24696,https://github.com/spring-projects/spring-framework/pull/24696,Maintainability,Improve Javadoc in InstantiationAwareBeanPostProcessor,improve,Title,,
25398,https://github.com/spring-projects/spring-framework/pull/25398,None,,,,,
27755,https://github.com/spring-projects/spring-framework/pull/27755,Maintainability,Avoids duplicating the logic,duplicating + logic,Description,,
1648,https://github.com/spring-projects/spring-framework/pull/1648,None,,,,,
1541,https://github.com/spring-projects/spring-framework/pull/1541,None,,,,,
23835,https://github.com/spring-projects/spring-framework/pull/23835,None,,,,,
1688,https://github.com/spring-projects/spring-framework/pull/1688,None,,,,,
2036,https://github.com/spring-projects/spring-framework/pull/2036,None,,,,,
1325,https://github.com/spring-projects/spring-framework/pull/1325,None,,,,,
1787,https://github.com/spring-projects/spring-framework/pull/1787,None,,,,,
28744,https://github.com/spring-projects/spring-framework/pull/28744,Maintainability,Polish ,Polish ,Title,,
23274,https://github.com/spring-projects/spring-framework/pull/23274,None,,,,,
1138,https://github.com/spring-projects/spring-framework/pull/1138,Performance,Improve performance of assertion in StompSubProtocolHandler.convertCo,performance,Title,,
25078,https://github.com/spring-projects/spring-framework/pull/25078,None,,,,,
25357,https://github.com/spring-projects/spring-framework/pull/25357,None,,,,,
310,https://github.com/spring-projects/spring-framework/pull/310,None,,,,,
455,https://github.com/spring-projects/spring-framework/pull/455,None,,,,,
1572,https://github.com/spring-projects/spring-framework/pull/1572,None,,,,,
1627,https://github.com/spring-projects/spring-framework/pull/1627,None,,,,,
1905,https://github.com/spring-projects/spring-framework/pull/1905,None,,,,,
23780,https://github.com/spring-projects/spring-framework/pull/23780,Maintainability,Polish HttpWebHandlerAdapter.handleUnresolvedError(),Polish,Title,,
26969,https://github.com/spring-projects/spring-framework/pull/26969,None,,,,,
962,https://github.com/spring-projects/spring-framework/pull/962,None,,,,,
1034,https://github.com/spring-projects/spring-framework/pull/1034,None,,,,,
28795,https://github.com/spring-projects/spring-framework/pull/28795,None,,,,,
1995,https://github.com/spring-projects/spring-framework/pull/1995,None,,,,,
26684,https://github.com/spring-projects/spring-framework/pull/26684,Maintainability,Polish TestContextAnnotationsUtilsTests,Polish,Title,,
1963,https://github.com/spring-projects/spring-framework/pull/1963,None,,,,,
1022,https://github.com/spring-projects/spring-framework/pull/1022,None,,,,,
24651,https://github.com/spring-projects/spring-framework/pull/24651,Maintainability,Adding the ability to request a file's contents as a string for testing REST or WEBMVC allows for cleaner test classes and more readable code.,"cleaner, readable",Description,,
476,https://github.com/spring-projects/spring-framework/pull/476,None,,,,,
24781,https://github.com/spring-projects/spring-framework/pull/24781,Manutenability,"""Fix typos and improve readability in Webflux documentation""","typos, readability, documentation",Title,type:documentation,
405,https://github.com/spring-projects/spring-framework/pull/405,None,,,,,
27912,https://github.com/spring-projects/spring-framework/pull/27912,None,,,,,
1235,https://github.com/spring-projects/spring-framework/pull/1235,None,,,,,
1534,https://github.com/spring-projects/spring-framework/pull/1534,None,,,,,
26323,https://github.com/spring-projects/spring-framework/pull/26323,None,,,,,
24815,https://github.com/spring-projects/spring-framework/pull/24815,Manutenability,"""Fix typo in webflux-cors.adoc""",typo,Title,type:task,
776,https://github.com/spring-projects/spring-framework/pull/776,None,,,,,
25453,https://github.com/spring-projects/spring-framework/pull/25453,None,,,,,
1439,https://github.com/spring-projects/spring-framework/pull/1439,Performance,"""SPR-15602 - Optimize DefaultUserDestinationResolver.resolveDestination()""",optimize,Title,,
222,https://github.com/spring-projects/spring-framework/pull/222,None,,,,,
24311,https://github.com/spring-projects/spring-framework/pull/24311,None,,,,,
71,https://github.com/spring-projects/spring-framework/pull/71,Robustness,"""I have cloned the Spring Framework Git repository and tried to build branch 3.1.x from command line with Ant, then got the error above.
Environment: Ubuntu 12.04, Apache Ant (both versions 1.8.1 and 1.8.2 produce the same result), Java HotSpot(TM) 64-Bit Server VM (build 20.1-b02, mixed mode).""","error, build",Comment,,
1275,https://github.com/spring-projects/spring-framework/pull/1275,None,,,,,
24694,https://github.com/spring-projects/spring-framework/pull/24694,Performance,"""Reduce byte array allocations in StompEncoder"", ""The use of an okio.Buffer instead of an ByteArrayOutputStream will reduce
the amount of allocated byte arrays by 50% to 66%."", In our case (because our stomp-headers are bigger than 128 byte), the current implementation allocates 3 byte arrays for each stomp message we send:

The initial internal buffer of the ByteArrayOutputStream (initialized as 128 + payload.length) (20.0%, 14414 samples)
The grown internal buffer of the ByteArrayOutputStream, which is needed because we write more than payload.length + 128 bytes. (22.5%, 16233 samples)
The result array which is created as subsequence copy of the internal buffer (34.9%, 25101 samples)
""","buffer, reduce, payload, byte, encoder, %, length, allocate","Tittle, description, comment",type:messaging,
25051,https://github.com/spring-projects/spring-framework/pull/25051,Manutenability,"""Fix typo in RmiSupportTests""",typo,Tittle ,,
619,https://github.com/spring-projects/spring-framework/pull/619,Robustness,"""SPR-12068 Added exception tracking to JamonPerformanceMonitorInterceptor"", ""The property below 'trackExceptions' controls this behaviour.""","exception, behavior, interceptor","Title, comments",,
366,https://github.com/spring-projects/spring-framework/pull/366,None,,,,,
628,https://github.com/spring-projects/spring-framework/pull/628,None,,,,,
1652,https://github.com/spring-projects/spring-framework/pull/1652,None,,,,,
1060,https://github.com/spring-projects/spring-framework/pull/1060,None,,,,,
24437,https://github.com/spring-projects/spring-framework/pull/24437,None,,,,,
25298,https://github.com/spring-projects/spring-framework/pull/25298,None,,,,,
1873,https://github.com/spring-projects/spring-framework/pull/1873,Performance,"""improve performance of projection instantiation""","improve, performance",Title,,
22711,https://github.com/spring-projects/spring-framework/pull/22711,None,,,,,
649,https://github.com/spring-projects/spring-framework/pull/649,None,,,,,
539,https://github.com/spring-projects/spring-framework/pull/539,None,,,,,
769,https://github.com/spring-projects/spring-framework/pull/769,None,,,,,
22515,https://github.com/spring-projects/spring-framework/pull/22515,Manutenability,"""URL Cleanup"", ""Fixed URLs""",cleanup,"Title, description",,
28401,https://github.com/spring-projects/spring-framework/pull/28401,None,,,,,
2022,https://github.com/spring-projects/spring-framework/pull/2022,None,,,,,
259,https://github.com/spring-projects/spring-framework/pull/259,None,,,,,
22354,https://github.com/spring-projects/spring-framework/pull/22354,None,,,,,
1102,https://github.com/spring-projects/spring-framework/pull/1102,None,,,,,
1555,https://github.com/spring-projects/spring-framework/pull/1555,None,,,,,
1320,https://github.com/spring-projects/spring-framework/pull/1320,None,,,,,
495,https://github.com/spring-projects/spring-framework/pull/495,None,,,,,
26674,https://github.com/spring-projects/spring-framework/pull/26674,None,,,,,
1037,https://github.com/spring-projects/spring-framework/pull/1037,None,,,,,
1094,https://github.com/spring-projects/spring-framework/pull/1094,None,,,,,
1251,https://github.com/spring-projects/spring-framework/pull/1251,None,,,,,
1864,https://github.com/spring-projects/spring-framework/pull/1864,None,,,,,
158,https://github.com/spring-projects/spring-framework/pull/158,None,,,,,
25554,https://github.com/spring-projects/spring-framework/pull/25554,None,,,,,
