system,nfr,file,changes_before,changes_after
spring-security,Maintainability,MockWebServerEnvironmentPostProcessor.java,0,2
spring-security,Maintainability,MockWebServerPropertySource.java,0,3
spring-security,Maintainability,package-info.java,0,2
spring-security,Maintainability,OAuth2ResourceServerApplication.java,0,3
spring-security,Maintainability,OAuth2ResourceServerController.java,0,5
spring-security,Maintainability,OAuth2ResourceServerSecurityConfiguration.java,0,14
spring-security,Maintainability,DelegatingJwtGrantedAuthoritiesConverter.java,0,2
spring-security,Maintainability,OAuth2ClientConfiguration.java,1,21
spring-security,Maintainability,OAuth2ClientConfigurer.java,2,22
spring-security,Maintainability,AuthenticatedPrincipalOAuth2AuthorizedClientRepository.java,0,8
spring-security,Maintainability,HttpSessionOAuth2AuthorizedClientRepository.java,0,7
spring-security,Maintainability,OAuth2AuthorizationCodeGrantFilter.java,3,23
spring-security,Maintainability,OAuth2AuthorizedClientRepository.java,0,6
spring-security,Maintainability,OAuth2AuthorizedClientArgumentResolver.java,0,22
spring-security,Maintainability,MethodSecurityExpressionRoot.java,7,13
spring-security,Maintainability,Pbkdf2PasswordEncoder.java,3,20
spring-security,Maintainability,SecurityConfigurer.java,3,7
spring-security,Maintainability,AclClassIdUtils.java,5,15
spring-security,Maintainability,BasicLookupStrategy.java,38,53
spring-security,Maintainability,AssertionImplMixin.java,4,11
spring-security,Maintainability,AttributePrincipalImplMixin.java,4,11
spring-security,Maintainability,CasAuthenticationTokenMixin.java,4,11
spring-security,Maintainability,CasAuthenticationFilter.java,9,25
spring-security,Maintainability,AbstractConfiguredSecurityBuilder.java,13,22
spring-security,Maintainability,SecurityConfigurerAdapter.java,10,20
spring-security,Maintainability,AuthenticationConfiguration.java,22,35
spring-security,Maintainability,InitializeAuthenticationProviderBeanManagerConfigurer.java,3,10
spring-security,Maintainability,InitializeUserDetailsBeanManagerConfigurer.java,6,13
spring-security,Maintainability,AutowireBeanFactoryObjectPostProcessor.java,10,19
spring-security,Maintainability,GlobalMethodSecurityConfiguration.java,39,52
spring-security,Maintainability,GlobalMethodSecuritySelector.java,9,15
spring-security,Maintainability,HttpSecurity.java,83,100
spring-security,Maintainability,AutowiredWebSecurityConfigurersIgnoreParents.java,4,10
spring-security,Maintainability,WebSecurityConfigurerAdapter.java,40,57
spring-security,Maintainability,AbstractInterceptUrlConfigurer.java,12,19
spring-security,Maintainability,ExpressionUrlAuthorizationConfigurer.java,24,36
spring-security,Maintainability,UrlAuthorizationConfigurer.java,18,34
spring-security,Maintainability,AbstractSecurityWebSocketMessageBrokerConfigurer.java,25,35
spring-security,Maintainability,RsaKeyConversionServicePostProcessor.java,1,9
spring-security,Maintainability,AuthenticationConfigBuilder.java,43,76
spring-security,Maintainability,HttpConfigurationBuilder.java,55,98
spring-security,Maintainability,HttpSecurityBeanDefinitionParser.java,57,76
spring-security,Maintainability,LogoutBeanDefinitionParser.java,16,27
spring-security,Maintainability,SecurityFilters.java,15,26
spring-security,Maintainability,ProtectPointcutPostProcessor.java,13,22
spring-security,Maintainability,SecurityWebFiltersOrder.java,12,15
spring-security,Maintainability,WebSessionServerLogoutHandler.java,0,1
spring-security,Maintainability,HeaderWriterFilter.java,11,20
spring-security,Maintainability,LazyCsrfTokenRepository.java,2,14
spring-security,Maintainability,RSocketSecurity.java,23,24
spring-security,Maintainability,EnableWebFluxSecurity.java,14,15
spring-security,Maintainability,ServerHttpSecurity.java,100,100
spring-security,Maintainability,SecurityConfigurerAdapter.java,4,20
spring-security,Maintainability,WebSecurityConfigurerAdapter.java,45,57
spring-security,Maintainability,HeadersConfigurer.java,32,48
spring-security,Maintainability,PathMatcherServerWebExchangeMatcher.java,3,7
spring-security,Maintainability,HttpBasicConfigurer.java,16,30
spring-security,Maintainability,SessionFixationProtectionStrategy.java,17,29
spring-security,Maintainability,HeadersConfigurer.java,23,48
spring-security,Maintainability,InitializeUserDetailsBeanManagerConfigurer.java,13,13
spring-security,Maintainability,AbstractSecurityWebSocketMessageBrokerConfigurer.java,17,35
spring-security,Maintainability,JdbcDaoImpl.java,14,24
spring-security,Maintainability,S101Configure.java,0,1
spring-security,Maintainability,S101Configurer.java,0,5
spring-security,Maintainability,S101Install.java,0,1
spring-security,Maintainability,S101Plugin.java,0,2
spring-security,Maintainability,S101PluginExtension.java,0,2
spring-security,Maintainability,WebSecurity.java,37,61
spring-security,Maintainability,CompositeRequestRejectedHandler.java,0,2
spring-security,Maintainability,Jwt.java,4,12
spring-security,Maintainability,JwtAuthenticationToken.java,3,10
spring-security,Maintainability,SessionManagementConfigurer.java,24,67
spring-security,Maintainability,HttpConfigurationBuilder.java,52,98
spring-security,Maintainability,ChangeSessionIdAuthenticationStrategy.java,4,10
spring-security,Maintainability,SessionFixationProtectionStrategy.java,20,29
spring-security,Maintainability,HttpServletRequestFactory.java,4,11
spring-security,Maintainability,EhCacheBasedTicketCache.java,8,18
spring-security,Maintainability,package-info.java,4,9
spring-security,Maintainability,AuthenticationManagerBuilder.java,12,20
spring-security,Maintainability,HttpSecurity.java,55,100
spring-security,Maintainability,ExpressionUrlAuthorizationConfigurer.java,22,36
spring-security,Maintainability,HeadersConfigurer.java,20,48
spring-security,Maintainability,LogoutConfigurer.java,22,40
spring-security,Maintainability,MessageDigestPasswordEncoder.java,12,12
spring-security,Maintainability,package-info.java,4,4
spring-security,Maintainability,AbstractJaasAuthenticationProvider.java,9,17
spring-security,Maintainability,ExceptionTranslationFilter.java,14,31
spring-security,Maintainability,OidcIdTokenDecoderFactory.java,5,16
spring-security,Maintainability,ReactiveOidcIdTokenDecoderFactory.java,4,15
spring-security,Maintainability,OidcReactiveOAuth2UserService.java,2,12
spring-security,Maintainability,OidcUserService.java,15,25
spring-security,Maintainability,ClaimAccessor.java,12,23
spring-security,Maintainability,ClaimConversionService.java,0,3
spring-security,Maintainability,ClaimTypeConverter.java,0,7
spring-security,Maintainability,ObjectToBooleanConverter.java,0,5
spring-security,Maintainability,ObjectToInstantConverter.java,0,4
spring-security,Maintainability,ObjectToListStringConverter.java,0,6
spring-security,Maintainability,ObjectToMapStringObjectConverter.java,0,5
spring-security,Maintainability,ObjectToStringConverter.java,0,5
spring-security,Maintainability,ObjectToURLConverter.java,0,4
spring-security,Maintainability,MappedJwtClaimSetConverter.java,3,12
spring-security,Maintainability,Saml2LoginConfigurer.java,19,36
spring-security,Maintainability,Saml2AuthenticationToken.java,9,12
spring-security,Maintainability,HttpSessionSaml2AuthenticationRequestRepository.java,0,2
spring-security,Maintainability,Saml2AuthenticationRequestRepository.java,0,2
spring-security,Maintainability,Saml2WebSsoAuthenticationFilter.java,18,27
spring-security,Maintainability,Saml2WebSsoAuthenticationRequestFilter.java,23,34
spring-security,Maintainability,Saml2AuthenticationTokenConverter.java,11,20
spring-security,Maintainability,InMemoryUserDetailsManager.java,11,23
spring-security,Security,SecurityConfig.java,4,9
spring-security,Security,OpenSamlAuthenticationProvider.java,7,44
spring-security,Security,RelyingPartyRegistrationRepository.java,1,8
spring-security,Security,CommonOAuth2Provider.java,19,27
spring-security,Security,OidcIdTokenValidator.java,12,18
spring-security,Security,ClientRegistration.java,43,64
spring-security,Security,ClientRegistrations.java,11,26
spring-security,Security,SecurityFilters.java,10,26
spring-security,Security,OAuth2LoginAuthenticationFilter.java,45,48
spring-security,Security,LdapAuthenticationProviderConfigurer.java,8,36
spring-security,Security,CookieRequestCache.java,0,12
spring-security,Security,LdapAuthenticationProviderConfigurer.java,22,36
spring-security,Security,Tomcat8AcegiUserRealm.java,0,0
spring-security,Security,SessionManagementConfigurer.java,26,67
spring-security,Security,ClientRegistrationsBeanDefinitionParser.java,4,12
spring-security,Security,OAuth2AuthorizationRequest.java,10,23
spring-security,Security,OpenSamlAuthenticationProvider.java,5,44
spring-security,Security,OpenSamlAuthenticationRequestFactory.java,1,26
spring-security,Security,OpenSamlImplementation.java,1,9
spring-security,Security,Saml2AuthenticationException.java,2,12
spring-security,Security,Saml2AuthenticationRequestFactory.java,1,12
spring-security,Security,Saml2Error.java,2,10
spring-security,Security,Saml2ErrorCodes.java,2,10
spring-security,Security,AbstractPreAuthenticatedProcessingFilter.java,33,50
spring-security,Security,OAuth2LoginConfigurer.java,75,100
spring-security,Security,ServerHttpSecurity.java,86,100
spring-security,Security,OidcAuthorizationCodeAuthenticationProvider.java,22,39
spring-security,Security,OidcAuthorizationCodeReactiveAuthenticationManager.java,6,26
spring-security,Security,OidcIdTokenValidator.java,0,18
spring-security,Security,JwtDecoderFactory.java,0,6
spring-security,Security,ReactiveJwtDecoderFactory.java,0,6
spring-security,Security,WebSecurityConfigurerAdapter.java,36,57
spring-security,Security,RequestCacheConfigurer.java,14,23
spring-security,Security,UrlAuthorizationConfigurer.java,15,34
spring-security,Security,OAuth2ResourceServerConfigurer.java,12,52
spring-security,Security,CsrfBeanDefinitionParser.java,8,30
spring-security,Security,OAuth2LoginConfigurer.java,84,100
spring-security,Security,OAuth2LoginAuthenticationFilter.java,39,48
spring-security,Security,SessionFixationProtectionEvent.java,0,6
spring-security,Security,SessionFixationProtectionMigrationEvent.java,0,0
spring-security,Security,SessionFixationProtectionStrategy.java,10,29
spring-security,Security,ConcurrentSessionControlAuthenticationStrategy.java,5,14
spring-security,Security,AbstractRememberMeServices.java,33,60
spring-security,Security,JwtGrantedAuthoritiesConverter.java,2,15
spring-security,Security,JwtProcessors.java,0,4
spring-security,Security,ServerHttpSecurity.java,96,100
spring-security,Security,OidcUserInfo.java,11,13
spring-security,Security,ServerHttpSecurity.java,100,100
spring-security,Security,HttpSecurity.java,17,100
spring-security,Security,HeadersConfigurer.java,9,48
spring-security,Security,HeadersBeanDefinitionParser.java,14,37
spring-security,Security,AbstractPasswordEncoder.java,0,7
spring-security,Security,PBKDF2PasswordEncoder.java,0,2
spring-security,Security,StandardPasswordEncoder.java,5,19
spring-security,Security,JwtBearerOAuth2AuthorizedClientProvider.java,0,4
spring-security,Security,OAuth2AuthorizationContext.java,7,9
spring-security,Security,OAuth2AuthorizedClientProviderBuilder.java,10,14
spring-security,Security,DefaultJwtBearerTokenResponseClient.java,0,3
spring-security,Security,OAuth2JwtBearerGrantRequest.java,0,2
spring-security,Security,OAuth2JwtBearerGrantRequestEntityConverter.java,0,2
spring-security,Security,AuthorizationGrantType.java,15,20
spring-security,Security,OAuth2ParameterNames.java,10,16
spring-security,Security,JwtTimestampValidator.java,1,11
spring-security,Security,OidcIdTokenValidator.java,1,18
spring-security,Security,HttpSecurity.java,100,100
spring-security,Security,CsrfControllerAdvice.java,1,2
spring-security,Security,ClientRegistrations.java,25,26
spring-security,Security,DefaultBearerTokenResolver.java,13,14
spring-security,Security,JwtEncoder.java,0,1
spring-security,Security,JwtEncoderFactory.java,0,0
spring-security,Security,JwtSigningException.java,0,0
spring-security,Security,NimbusJwtDecoder.java,17,32
spring-security,Security,NimbusJwtEncoder.java,0,1
spring-security,Security,PasswordComparisonAuthenticator.java,7,23
spring-security,Security,ServerHttpSecurity.java,100,100
spring-security,Security,AuthenticationConverterServerWebExchangeMatcher.java,0,6
spring-security,Security,BCrypt.java,3,24
spring-security,Security,JwtIssuerAuthenticationManagerResolver.java,8,13
spring-security,Security,JwtIssuerReactiveAuthenticationManagerResolver.java,9,14
spring-security,Security,SessionManagementConfigurer.java,20,67
spring-security,Security,NimbusOAuth2TokenIntrospectionClient.java,1,4
spring-security,Security,AbstractAuthorizeTag.java,10,24
spring-security,Security,OpenSamlAuthenticationProvider.java,1,3
spring-security,Security,OpenSaml4AuthenticationProvider.java,2,13
spring-security,Security,HeadersBeanDefinitionParser.java,10,37
spring-security,Security,RememberMeAuthenticationException.java,3,11
spring-security,Security,DefaultBearerTokenResolver.java,3,14
spring-security,Security,AbstractPreAuthenticatedProcessingFilter.java,44,50
spring-security,Security,CasAuthenticationProvider.java,13,27
spring-security,Security,CasAuthenticationToken.java,10,26
spring-security,Security,CasAuthenticationEntryPoint.java,5,23
spring-security,Security,CasRememberMeAccessDeniedHandler.java,0,0
spring-security,Security,AuthenticationTrustResolverImpl.java,2,10
spring-security,Security,RememberMeAuthenticationToken.java,7,16
spring-security,Security,RememberMeAware.java,0,0
spring-security,Security,OAuth2ClientConfiguration.java,9,21
spring-security,Security,ReactiveOAuth2ClientImportSelector.java,6,15
spring-security,Security,OAuth2AuthorizationContext.java,0,9
spring-security,Security,OAuth2AuthorizedClientProviderBuilder.java,0,14
spring-security,Security,PasswordOAuth2AuthorizedClientProvider.java,0,10
spring-security,Security,PasswordReactiveOAuth2AuthorizedClientProvider.java,0,11
spring-security,Security,ReactiveOAuth2AuthorizedClientProviderBuilder.java,0,11
spring-security,Security,DefaultPasswordTokenResponseClient.java,0,11
spring-security,Security,OAuth2PasswordGrantRequest.java,0,5
spring-security,Security,OAuth2PasswordGrantRequestEntityConverter.java,0,8
spring-security,Security,WebClientReactivePasswordTokenResponseClient.java,0,6
spring-security,Security,ClientRegistration.java,40,64
spring-security,Security,DefaultOAuth2AuthorizedClientManager.java,0,18
spring-security,Security,OAuth2AuthorizedClientArgumentResolver.java,4,22
spring-security,Security,ServerOAuth2AuthorizedClientExchangeFilterFunction.java,15,40
spring-security,Security,ServletOAuth2AuthorizedClientExchangeFilterFunction.java,12,43
spring-security,Security,OAuth2AuthorizedClientArgumentResolver.java,4,16
spring-security,Security,DefaultServerOAuth2AuthorizedClientManager.java,0,3
spring-security,Security,OAuth2AuthorizationCodeAuthenticationProvider.java,5,10
spring-security,Security,OAuth2LoginAuthenticationProvider.java,28,35
spring-security,Security,OAuth2LoginAuthenticationToken.java,6,11
spring-security,Security,ServerHttpSecurity.java,63,100
spring-security,Security,CsrfFilter.java,13,40
spring-security,Security,CsrfToken.java,4,9
spring-security,Security,DefaultCsrfToken.java,4,8
spring-security,Security,CsrfToken.java,2,3
spring-security,Security,CsrfWebFilter.java,10,28
spring-security,Security,DefaultCsrfToken.java,3,8
spring-security,Security,TokenBasedRememberMeServices.java,28,31
spring-security,Security,RedirectorTag.java,0,0
spring-security,Security,AbstractSignCalculator.java,0,0
spring-security,Security,HmacSignCalculator.java,0,0
spring-security,Security,InvalidRedirectException.java,0,0
spring-security,Security,RedirectValidationFilter.java,0,0
spring-security,Security,SignCalculator.java,0,0
spring-security,Security,SignedRedirectHttpServletResponse.java,0,0
spring-security,Security,BCrypt.java,11,24
spring-security,Security,Saml2LoginConfigurer.java,29,36
spring-security,Security,Saml2X509Credential.java,12,13
spring-security,Security,AbstractSaml2AuthenticationRequest.java,10,14
spring-security,Security,Saml2AuthenticationException.java,11,12
spring-security,Security,Saml2AuthenticationRequest.java,13,14
spring-security,Security,Saml2AuthenticationRequestContext.java,13,14
spring-security,Security,Saml2AuthenticationRequestFactory.java,11,12
spring-security,Security,Saml2AuthenticationToken.java,10,12
spring-security,Security,Saml2Error.java,9,10
spring-security,Security,Saml2ErrorCodes.java,9,10
spring-security,Security,Saml2PostAuthenticationRequest.java,11,14
spring-security,Security,Saml2RedirectAuthenticationRequest.java,11,14
spring-security,Security,RelyingPartyRegistration.java,33,40
spring-security,Security,Saml2WebSsoAuthenticationRequestFilter.java,30,34
spring-security,Security,DefaultSaml2AuthenticationRequestContextResolver.java,13,14
spring-security,Security,Saml2AuthenticationRequestContextResolver.java,7,8
spring-security,Security,Saml2AuthenticationTokenConverter.java,17,20
spring-security,Security,Saml2MetadataFilter.java,12,18
spring-security,Security,OpenSamlAuthenticationRequestFactory.java,2,3
spring-security,Security,OpenSaml4AuthenticationRequestFactory.java,4,5
spring-security,Security,OAuth2ImportSelector.java,2,8
spring-security,Security,OAuth2ResourceServerConfiguration.java,0,2
spring-security,Security,ServletBearerExchangeFilterFunction.java,2,10
spring-security,Security,ServerHttpSecurity.java,100,100
spring-security,Security,JwtGrantedAuthoritiesConverter.java,3,15
spring-security,Security,OAuth2IntrospectionAuthenticationToken.java,3,8
spring-security,Security,ActiveDirectoryLdapAuthenticationProvider.java,6,32
spring-security,Security,GlobalMethodSecurityConfiguration.java,19,52
spring-security,Security,ExpressionUrlAuthorizationConfigurer.java,14,36
spring-security,Security,ReactiveOAuth2ClientImportSelector.java,13,15
spring-security,Security,WebSecurityConfigurerAdapter.java,45,57
spring-security,Security,SecurityNamespaceHandler.java,30,59
spring-security,Security,JwtGrantedAuthoritiesConverter.java,2,15
spring-security,Security,WebSecurityConfiguration.java,1,43
spring-security,Security,AbstractSecurityWebApplicationInitializer.java,1,26
spring-security,Security,AuthenticationConfiguration.java,13,35
spring-security,Security,NimbusJwtDecoder.java,15,32
spring-security,Security,HeadersConfigurer.java,16,48
spring-security,Security,HeadersBeanDefinitionParser.java,20,37
spring-security,Security,FeaturePolicyHeaderWriter.java,0,5
spring-security,Security,AbstractSaml2AuthenticationRequest.java,9,14
spring-security,Security,StandardPasswordEncoder.java,11,19
spring-security,Security,RsaKeyConverters.java,8,11
spring-security,Security,PrePostAdviceReactiveMethodInterceptor.java,15,18
spring-security,Security,ServletOAuth2AuthorizedClientExchangeFilterFunction.java,10,43
spring-security,Security,SecurityWebFiltersOrder.java,9,15
spring-security,Security,ServerHttpSecurity.java,83,100
spring-security,Security,AnonymousAuthenticationWebFilter.java,0,8
spring-security,Security,ClientRegistrationsBeanDefinitionParser.java,4,12
spring-security,Security,AbstractWebClientReactiveOAuth2AccessTokenResponseClient.java,2,27
spring-security,Security,ClientRegistration.java,43,64
spring-security,Security,ClientRegistrations.java,11,26
spring-security,Security,ClientAuthenticationMethod.java,8,15
spring-security,Security,OAuth2ParameterNames.java,6,16
spring-security,Security,OidcConfigurationProvider.java,1,4
spring-security,Security,ClientRegistration.java,26,64
spring-security,Security,DefaultMapOAuth2AccessTokenResponseConverter.java,0,2
spring-security,Security,DefaultOAuth2AccessTokenResponseMapConverter.java,0,1
spring-security,Security,MapOAuth2AccessTokenResponseConverter.java,5,9
spring-security,Security,OAuth2AccessTokenResponseMapConverter.java,4,7
spring-security,Security,OAuth2AccessTokenResponseHttpMessageConverter.java,17,21
spring-security,Security,OAuth2ClientConfiguration.java,12,21
spring-security,Security,OAuth2ClientConfigurer.java,14,22
spring-security,Security,OAuth2ClientConfigurerUtils.java,7,10
spring-security,Security,OAuth2LoginConfigurer.java,85,100
spring-security,Security,AuthenticationConfigBuilder.java,54,76
spring-security,Security,OAuth2ClientBeanDefinitionParser.java,1,13
spring-security,Security,OAuth2LoginBeanDefinitionParser.java,3,15
spring-security,Security,DefaultOAuth2AuthorizedClientManagerPostProcessor.java,0,0
spring-security,Security,OAuth2ClientBeanNames.java,0,0
spring-security,Security,OAuth2ClientRestOperationsPostProcessor.java,0,0
spring-security,Security,WebClientConfig.java,6,7
spring-security,Security,Elements.java,28,39
spring-security,Security,SecurityNamespaceHandler.java,38,59
spring-security,Security,AuthenticationConfigBuilder.java,44,76
spring-security,Security,HttpSecurityBeanDefinitionParser.java,60,76
spring-security,Security,OAuth2LoginBeanDefinitionParser.java,0,15
spring-security,Security,SecurityFilters.java,15,26
spring-security,Security,ClientRegistrationsBeanDefinitionParser.java,0,12
spring-security,Security,MappedJwtClaimSetConverter.java,0,12
spring-security,Security,NimbusJwtDecoderJwkSupport.java,11,26
spring-security,Security,DefaultOAuth2AuthorizationCodeGrantFinalRedirectStrategy.java,0,0
spring-security,Security,OAuth2AuthorizationCodeGrantFilter.java,13,23
spring-security,Security,OAuth2AuthorizationCodeGrantFinalRedirectStrategy.java,0,0
spring-security,Security,AuthenticationConverter.java,0,4
spring-security,Security,AuthenticationEntryPointFailureHandler.java,0,9
spring-security,Security,AuthenticationFilter.java,0,19
spring-security,Security,AuthenticationSuccessHandler.java,9,13
spring-security,Security,BasicAuthenticationConverter.java,0,12
spring-security,Security,BasicAuthenticationFilter.java,17,34
spring-security,Security,EhCacheBasedTicketCache.java,7,18
spring-security,Security,package-info.java,3,9
spring-security,Security,AuthenticationManagerBuilder.java,11,20
spring-security,Security,HttpSecurity.java,54,100
spring-security,Security,ExpressionUrlAuthorizationConfigurer.java,21,36
spring-security,Security,HeadersConfigurer.java,19,48
spring-security,Security,LogoutConfigurer.java,21,40
spring-security,Security,OAuth2LoginConfigurer.java,77,100
spring-security,Security,ClaimAccessor.java,11,23
spring-security,Security,DefaultAuthenticationEventPublisher.java,10,22
spring-security,Security,BadJwtException.java,0,2
spring-security,Security,JwtValidationException.java,2,7
spring-security,Security,NimbusJwtDecoder.java,14,32
spring-security,Security,NimbusReactiveJwtDecoder.java,18,38
spring-security,Security,SingleKeyJWSKeySelector.java,1,4
spring-security,Security,JwtAuthenticationProvider.java,7,15
spring-security,Security,JwtReactiveAuthenticationManager.java,7,15
spring-security,Security,DelegatingOAuth2TokenValidator.java,0,6
spring-security,Security,OAuth2TokenValidator.java,0,6
spring-security,Security,OAuth2TokenValidatorResult.java,0,4
spring-security,Security,JwtIssuerValidator.java,0,10
spring-security,Security,JwtTimestampValidator.java,0,11
spring-security,Security,JwtValidationException.java,0,7
spring-security,Security,JwtValidators.java,0,6
spring-security,Security,NimbusJwtDecoderJwkSupport.java,8,26
spring-security,Security,JwtAuthenticationProvider.java,2,15
spring-security,Security,AbstractOAuth2AuthorizationGrantRequest.java,5,7
spring-security,Security,AbstractOAuth2AuthorizationGrantRequestEntityConverter.java,0,1
spring-security,Security,JoseHeader.java,0,2
spring-security,Security,JoseHeaderNames.java,0,2
spring-security,Security,JwtClaimsSet.java,0,2
spring-security,Security,JwtEncodingException.java,0,2
spring-security,Security,NimbusJwsEncoder.java,0,2
spring-security,Security,NimbusJwtClientAuthenticationParametersConverter.java,0,4
spring-security,Security,OAuth2AuthorizationCodeGrantRequest.java,5,6
spring-security,Security,OAuth2AuthorizationCodeGrantRequestEntityConverter.java,9,11
spring-security,Security,OAuth2AuthorizationGrantRequestEntityUtils.java,8,10
spring-security,Security,OAuth2ClientCredentialsGrantRequest.java,4,5
spring-security,Security,OAuth2ClientCredentialsGrantRequestEntityConverter.java,7,9
spring-security,Security,OAuth2PasswordGrantRequest.java,3,5
spring-security,Security,OAuth2PasswordGrantRequestEntityConverter.java,6,8
spring-security,Security,OAuth2RefreshTokenGrantRequest.java,5,6
spring-security,Security,OAuth2RefreshTokenGrantRequestEntityConverter.java,6,8
spring-security,Security,Saml2LoginConfigurer.java,19,36
spring-security,Security,Saml2AuthenticationToken.java,9,12
spring-security,Security,HttpSessionSaml2AuthenticationRequestRepository.java,0,2
spring-security,Security,Saml2AuthenticationRequestRepository.java,0,2
spring-security,Security,Saml2WebSsoAuthenticationFilter.java,18,27
spring-security,Security,Saml2WebSsoAuthenticationRequestFilter.java,23,34
spring-security,Security,Saml2AuthenticationTokenConverter.java,11,20
spring-security,Security,CsrfFilter.java,11,40
spring-security,Security,FilterComparator.java,18,36
spring-security,Security,HttpSecurity.java,46,100
spring-security,Security,EnableWebSecurity.java,13,28
spring-security,Security,OAuth2ClientConfiguration.java,0,21
spring-security,Security,OAuth2ImportSelector.java,0,8
spring-security,Security,OAuth2Configurer.java,0,6
spring-security,Security,ImplicitGrantConfigurer.java,11,20
spring-security,Security,OAuth2ClientConfigurer.java,0,22
spring-security,Security,OAuth2ClientConfigurerUtils.java,2,10
spring-security,Security,OAuth2LoginConfigurer.java,67,100
spring-security,Security,CommonOAuth2Provider.java,15,27
spring-security,Security,ClientAuthorizationRequiredException.java,0,6
spring-security,Security,OAuth2ClientException.java,0,2
spring-security,Security,OAuth2Client.java,0,2
spring-security,Security,OAuth2AuthorizationCodeAuthenticationProvider.java,2,10
spring-security,Security,OAuth2AuthorizationCodeAuthenticationToken.java,5,13
spring-security,Security,OAuth2AuthorizationExchangeValidator.java,2,7
spring-security,Security,OAuth2LoginAuthenticationProvider.java,22,35
spring-security,Security,OAuth2AuthorizationCodeGrantFilter.java,2,23
spring-security,Security,OAuth2AuthorizationRequestRedirectFilter.java,9,35
spring-security,Security,OAuth2AuthorizationResponseUtils.java,2,9
spring-security,Security,OAuth2LoginAuthenticationFilter.java,27,48
spring-security,Security,OAuth2ClientArgumentResolver.java,0,3
spring-security,Security,OAuth2AuthorizationCodeGrantFilter.java,13,23
spring-security,Security,CsrfConfigurer.java,11,45
spring-security,Security,ExceptionHandlingConfigurer.java,9,16
spring-security,Security,SessionManagementConfigurer.java,21,67
spring-security,Security,OAuth2Configurer.java,3,6
spring-security,Security,OAuth2ResourceServerConfigurer.java,0,52
spring-security,Security,TransientAuthentication.java,0,2
spring-security,Security,NimbusJwtDecoderJwkSupport.java,6,26
spring-security,Security,CsrfChannelInterceptor.java,3,9
spring-security,Security,CookieCsrfTokenRepository.java,8,25
spring-security,Security,CsrfFilter.java,14,40
spring-security,Security,CsrfToken.java,4,9
spring-security,Security,GenerateTokenProvider.java,0,0
spring-security,Security,HttpSessionCsrfTokenRepository.java,7,12
spring-security,Security,LazyCsrfTokenRepository.java,4,14
spring-security,Security,XorCsrfToken.java,0,0
spring-security,Security,NimbusJwtDecoder.java,18,32
spring-security,Security,NimbusReactiveJwtDecoder.java,20,38
spring-security,Performance,ObjectIdentityImpl.java,7,15
spring-security,Performance,JaasGrantedAuthority.java,9,17
spring-security,Performance,RequestKey.java,7,16
spring-security,Performance,SwitchUserGrantedAuthority.java,11,18
spring-security,Performance,AntPathRequestMatcher.java,16,39
spring-security,Performance,SessionFixationProtectionStrategy.java,20,29
spring-security,Performance,IpAddressMatcher.java,3,15
spring-security,Performance,NimbusJwtDecoder.java,15,32
spring-security,Performance,JwtIssuerReactiveAuthenticationManagerResolver.java,1,14
spring-security,Performance,JdbcAclService.java,28,38
spring-security,Performance,ConcurrentSessionControlAuthenticationStrategy.java,12,14
spring-security,Performance,UnboundIdContainer.java,5,10
spring-security,Performance,JdbcUserDetailsManagerConfigurer.java,6,11
spring-security,Performance,ReactiveMethodSecuritySelector.java,5,11
spring-security,Performance,LogoutConfigurer.java,22,40
